trial,run,dog,chemical,event,start_time,end_time,cal
3,1,11,methylbenzoate,1,85.3,86.6,8.6
3,1,11,bromooctane,1,78.5,80,10.5
3,1,12,2E1H,1,21.8,22.8,19.3
3,1,12,2E1H,2,38.8,39.6,19.3
3,1,12,2E1H,3,58.3,59.1,19.3
3,1,12,Blank,1,19.8,20.7,21.1
3,1,12,Blank,2,37.1,38.7,21.1
3,1,12,Blank,3,57.3,58.4,21.1
3,1,12,methylbenzoate,1,37,38.2,22.9
3,1,12,bromooctane,1,15.4,16,24.5
3,1,12,bromooctane,2,26.3,27.3,24.5
3,1,12,bromooctane,3,36.1,36.9,24.5
3,1,17,bromooctane,1,60,61.4,10.5
3,1,17,bromooctane,2,64.2,65.3,10.5
3,1,20,2E1H,1,18.7,19.6,14.4
3,1,20,2E1H,2,22.1,22.8,14.4
3,1,20,Blank,1,16.1,17.1,16
3,1,20,Blank,2,21.2,21.8,16
3,1,20,Blank,3,27.5,28.4,16
3,1,20,methylbenzoate,1,13.5,14.7,17.7
3,1,20,methylbenzoate,2,25.4,25.9,17.7
3,1,20,bromooctane,1,11.4,12.1,19.2
3,1,20,bromooctane,2,23,23.5,19.2
3,1,21,2E1H,1,48.3,49.7,6.7
3,1,21,Blank,1,44.1,44.4,8.3
